name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Casa Cairnhill,"1 Peck Hay Road, singapore 228305",null,>80%,1.308107932,103.8395461,99,,
Casa Cambio,"9 Lim Tua Tow Road, singapore 547726","S$ 768,000
  -
  S$ 1,300,000",<20%,1.35368823,103.8764446,99,,
Casa De Venice,"6 Lengkok Empat, singapore 417613",null,null,1.326750746,103.9113694,99,,
Casa Emerald,"51 Geylang Lorong 32, singapore 398311",null,40%-59%,1.312126841,103.8872202,99,,
Casa Espania,"19 Gambir Walk, singapore 538977",null,>80%,1.34485855,103.8751008,99,,
Casa Esperanza,"995 Bukit Timah Road, singapore 589632",null,>80%,1.334908896,103.7834521,99,,
Casa Feliz,"81 Koon Seng Road, singapore 427024",null,>80%,1.312090528,103.9043763,99,,
Casa Flora,"21 Salam Walk, singapore 467169",null,60%-79%,1.321445179,103.9503076,99,,
Casa Fortuna,"0 Ah Hood Road, singapore 320000","S$ 820,000
  -
  S$ 1,600,000",<20%,undefined,undefined,0,,
Casa Irrawaddy,"61 Irrawaddy Road, singapore 329557",null,60%-79%,1.324937124,103.8460689,99,,
Casa Jervois,"99 Jervois Road, singapore 249055",null,>80%,1.294735536,103.8189893,99,,
Casa Jervois,"99 Jervois Road, singapore 249055",null,>80%,1.294735536,103.8189893,99,,
Casa Melwani,"7 Surrey Road, singapore 307746",null,null,1.316251778,103.8425842,99,,
Casa Merah,"50 Tanah Merah Kechil Avenue, singapore 465524","S$ 1,099,000
  -
  S$ 2,200,000",<20%,1.329742066,103.9456704,99,,
Casa Nassau,"386/394/396A(ENBLOC) Upper East Coast Road, singapore 466476",null,null,undefined,undefined,0,,
Casa Pasir Ris,"201 Jalan Loyang Besar, singapore 509506","S$ 1,000,000
  -
  S$ 2,200,000",60%-79%,1.379391952,103.9636877,99,,
Casa Riviera,"19 Lim Tua Tow Road, singapore 547766",null,60%-79%,1.354855197,103.8757606,99,,
Casa Rosita,"257E Bukit Timah Road, singapore 259702",null,null,1.315012069,103.8361682,99,,
Casa Sophia,"105 Sophia Road, singapore 228170",null,>80%,1.302546681,103.8463371,99,,
Cascadale,"730 Upper Changi Road East, singapore 486858","S$ 1,480,000
  -
  S$ 1,700,000",60%-79%,1.345525482,103.9632693,99,,
Cascadale,"730 Upper Changi Road East, singapore 486858","S$ 1,480,000
  -
  S$ 1,700,000",60%-79%,1.345525482,103.9632693,99,,
Cascata,"7 Teo Kim Eng Road, singapore 416378",null,40%-59%,1.328402035,103.9086063,99,,
Cashew Estate,", singapore 000101",null,null,undefined,undefined,0,,
Cashew Villas,"78 Cashew Crescent, singapore 679678",null,null,1.372392976,103.7687675,99,,
Caspian,"121B Westwood Avenue, singapore 648300","S$ 685,000
  -
  S$ 1,900,000",<20%,1.352211475,103.6980433,99,,
Cassia View,"320 Guillemard Road, singapore 399746",null,60%-79%,1.311032761,103.8866301,99,,
Casuarina Cove,"120 Tanjong Rhu Road, singapore 436904","S$ 1,770,000
  -
  S$ 1,780,000",60%-79%,1.297514306,103.8745145,99,,
Cathay Gardens,"1 Keris Drive, singapore 456964",null,null,1.309375029,103.9197533,99,,
Cavenagh Fortuna,"91 Cavenagh Road, singapore 229629",null,null,1.306788889,103.8409663,99,,
Celadon View,"45 Jalan Loyang Besar, singapore 507029",null,60%-79%,1.378349857,103.9565914,99,,
Centennia Suites,"100 Kim Seng Road, singapore 239427","S$ 3,714,000
  -
  S$ 6,500,000",<20%,1.29293392,103.83359,99,,
Centra Heights,"455 Sims Avenue, singapore 387607","S$ 728,000
  -
  S$ 1,100,000",<20%,1.316293978,103.8865742,99,,
Centra Loft,"3 Lorong 35 Geylang, singapore 387935","S$ 648,888
  -
  S$ 680,000",<20%,1.31481744,103.888377,99,,
Centra Residence,"8 Lorong 7 Geylang, singapore 388792","S$ 648,000
  -
  S$ 1,118,000",<20%,1.312846209,103.8759363,99,,
Central Green Condominium,"1 JALAN MEMBINA, singapore 169479",null,40%-59%,1.285195762,103.8276772,99,,
Central Imperial,"3 Lorong 14 Geylang, singapore 398915","S$ 638,000
  -
  S$ 638,000",<20%,1.311942668,103.879214,99,,
Central Meadows,"51 Lorong 34 Geylang, singapore 398240",null,40%-59%,1.312258259,103.8881618,99,,
